event_time_ns,open,high,low,close,volume
0,100,101,99,100,100.0
1000000000,100,101,99,100,100.0
2000000000,100,101,99,100,100.0
3000000000,100,101,99,100,100.0
4000000000,100,101,99,100,100.0
5000000000,100,101,99,100,100.0
6000000000,100,101,99,100,100.0
7000000000,100,101,99,100,100.0
8000000000,100,101,99,100,100.0
9000000000,100,101,99,100,100.0
10000000000,100,101,99,100,100.0
11000000000,100,101,99,100,100.0
12000000000,100,101,99,100,100.0
13000000000,100,101,99,100,100.0
14000000000,100,101,99,100,100.0
15000000000,100,101,99,100,100.0
16000000000,100,101,99,100,100.0
17000000000,100,101,99,100,100.0
18000000000,100,101,99,100,100.0
19000000000,100,101,99,100,100.0
20000000000,100,101,99,100,100.0
21000000000,110,111,109,110,100.0
22000000000,110,111,109,110,100.0
23000000000,110,111,109,110,100.0
24000000000,100,101,99,100,100.0
25000000000,100,101,99,100,100.0
26000000000,100,101,99,100,100.0
27000000000,90,91,89,90,100.0
28000000000,90,91,89,90,100.0
29000000000,90,91,89,90,100.0
30000000000,80,81,79,80,100.0
31000000000,80,81,79,80,100.0
32000000000,80,81,79,80,100.0
33000000000,80,81,79,80,100.0
