catalog,data_type,symbol,first_time,last_time,num_files,estimated_rows,file_size_mb,required_columns_present,vwm_bar_candidate,status,notes
cffex_l1_depth10,order_book_depths,IC2301.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T07-00-00-200000000Z,1,23641,0.640126,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IC2302.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-700000000Z,1,12533,0.344731,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IC2303.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-700000000Z,1,18650,0.500384,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IC2306.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-700000000Z,1,14444,0.389957,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IF2301.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,24489,0.656715,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IF2302.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,13335,0.356759,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IF2303.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,19321,0.51774,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IF2306.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-700000000Z,1,13701,0.367324,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IH2301.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,22096,0.592883,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IH2302.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-56-200000000Z,1,12363,0.329252,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IH2303.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-200000000Z,1,16125,0.436695,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IH2306.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-200000000Z,1,12580,0.338473,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IM2301.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,21780,0.593546,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IM2302.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-58-700000000Z,1,12153,0.337762,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IM2303.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-59-700000000Z,1,17485,0.476572,False,False,not_bar_data,native catalog data is not directly OHLCV bars
cffex_l1_depth10,order_book_depths,IM2306.CFFEX,2023-01-03T01-29-00-200000000Z,2023-01-03T06-59-56-200000000Z,1,13735,0.372543,False,False,not_bar_data,native catalog data is not directly OHLCV bars
