event_time_ns,event_time,instrument_id,action,quantity,reason
1717206000000000000,2024-06-01T01:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717207800000000000,2024-06-01T02:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717219500000000000,2024-06-01T05:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717220700000000000,2024-06-01T05:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717226700000000000,2024-06-01T07:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717227900000000000,2024-06-01T07:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717239300000000000,2024-06-01T10:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717243800000000000,2024-06-01T12:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717257300000000000,2024-06-01T15:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717271100000000000,2024-06-01T19:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717285200000000000,2024-06-01T23:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717287600000000000,2024-06-02T00:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717293600000000000,2024-06-02T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717302900000000000,2024-06-02T04:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717306800000000000,2024-06-02T05:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717317600000000000,2024-06-02T08:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717319700000000000,2024-06-02T09:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717328100000000000,2024-06-02T11:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717348800000000000,2024-06-02T17:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717366800000000000,2024-06-02T22:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717372200000000000,2024-06-02T23:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717376700000000000,2024-06-03T01:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717412400000000000,2024-06-03T11:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717413900000000000,2024-06-03T11:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717425600000000000,2024-06-03T14:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717440000000000000,2024-06-03T18:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717442100000000000,2024-06-03T19:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717445100000000000,2024-06-03T20:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717449600000000000,2024-06-03T21:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717462200000000000,2024-06-04T00:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717477200000000000,2024-06-04T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717488900000000000,2024-06-04T08:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717491300000000000,2024-06-04T08:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717497900000000000,2024-06-04T10:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717529700000000000,2024-06-04T19:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717538100000000000,2024-06-04T21:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717543500000000000,2024-06-04T23:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717547400000000000,2024-06-05T00:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717567200000000000,2024-06-05T06:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717569900000000000,2024-06-05T06:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717577400000000000,2024-06-05T08:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717586700000000000,2024-06-05T11:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717590000000000000,2024-06-05T12:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717592100000000000,2024-06-05T12:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717594800000000000,2024-06-05T13:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717599000000000000,2024-06-05T14:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717611600000000000,2024-06-05T18:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717617600000000000,2024-06-05T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717622400000000000,2024-06-05T21:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717625700000000000,2024-06-05T22:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717645800000000000,2024-06-06T03:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717650000000000000,2024-06-06T05:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717650600000000000,2024-06-06T05:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717654500000000000,2024-06-06T06:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717679400000000000,2024-06-06T13:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717680900000000000,2024-06-06T13:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717690200000000000,2024-06-06T16:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717715100000000000,2024-06-06T23:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717723200000000000,2024-06-07T01:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717725300000000000,2024-06-07T01:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717727700000000000,2024-06-07T02:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717729500000000000,2024-06-07T03:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717746300000000000,2024-06-07T07:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717752600000000000,2024-06-07T09:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717763700000000000,2024-06-07T12:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717801200000000000,2024-06-07T23:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717819800000000000,2024-06-08T04:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717828200000000000,2024-06-08T06:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717842000000000000,2024-06-08T10:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717844100000000000,2024-06-08T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717847400000000000,2024-06-08T11:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717855200000000000,2024-06-08T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717863600000000000,2024-06-08T16:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717866900000000000,2024-06-08T17:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717878300000000000,2024-06-08T20:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717897200000000000,2024-06-09T01:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717899300000000000,2024-06-09T02:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717905000000000000,2024-06-09T03:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717925700000000000,2024-06-09T09:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717930500000000000,2024-06-09T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717931100000000000,2024-06-09T11:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717933200000000000,2024-06-09T11:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717964700000000000,2024-06-09T20:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717967400000000000,2024-06-09T21:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717968900000000000,2024-06-09T21:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
