event_time_ns,event_time,instrument_id,side,quantity,fill_price,commission,source
1717322400000000000,2024-06-02T10:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67577.4,33.7887,nautilus
1717329600000000000,2024-06-02T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67979.4,33.9897,nautilus
1717372800000000000,2024-06-03T00:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67863.6,33.9318,nautilus
1717380000000000000,2024-06-03T02:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,68460.4,34.2302,nautilus
1717704000000000000,2024-06-06T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70767.9,35.38395,nautilus
1717740000000000000,2024-06-07T06:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71298.5,35.64925,nautilus
1717783200000000000,2024-06-07T18:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69186.5,34.59325,nautilus
1717941600000000000,2024-06-09T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69513.0,34.7565,nautilus
1718002800000000000,2024-06-10T07:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69325.3,34.66265,nautilus
1718035200000000000,2024-06-10T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69998.9,34.99945,nautilus
1718071200000000000,2024-06-11T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,68285.8,34.1429,nautilus
1718193600000000000,2024-06-12T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69340.1,34.67005,nautilus
1718607600000000000,2024-06-17T07:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,66147.3,33.07365,nautilus
1718650800000000000,2024-06-17T19:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,66661.4,33.3307,nautilus
1718676000000000000,2024-06-18T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,65432.5,32.71625,nautilus
1718863200000000000,2024-06-20T06:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,65438.1,32.71905,nautilus
1718899200000000000,2024-06-20T16:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,64863.9,32.43195,nautilus
1719108000000000000,2024-06-23T02:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,64480.0,32.24,nautilus
1719151200000000000,2024-06-23T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,64166.5,32.08325,nautilus
1719331200000000000,2024-06-25T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,61358.6,30.6793,nautilus
1719590400000000000,2024-06-28T16:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,60926.9,30.46345,nautilus
1719662400000000000,2024-06-29T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,61049.9,30.52495,nautilus
1719712800000000000,2024-06-30T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,60831.6,30.4158,nautilus
1719734400000000000,2024-06-30T08:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,61550.5,30.77525,nautilus
1719914400000000000,2024-07-02T10:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,62715.6,31.3578,nautilus
1720209600000000000,2024-07-05T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,56327.3,28.16365,nautilus
1720238400000000000,2024-07-06T04:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,56040.0,28.02,nautilus
1720260000000000000,2024-07-06T10:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,56750.0,28.375,nautilus
1720357200000000000,2024-07-07T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,56846.1,28.42305,nautilus
1720429200000000000,2024-07-08T09:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,57498.6,28.7493,nautilus
1720623600000000000,2024-07-10T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,57658.0,28.829,nautilus
1720666800000000000,2024-07-11T03:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,57540.5,28.77025,nautilus
1720728000000000000,2024-07-11T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,57528.4,28.7642,nautilus
1720792800000000000,2024-07-12T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,57799.9,28.89995,nautilus
1721116800000000000,2024-07-16T08:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,62799.2,31.3996,nautilus
1721145600000000000,2024-07-16T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,64469.6,32.2348,nautilus
1721224800000000000,2024-07-17T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,64997.1,32.49855,nautilus
1721286000000000000,2024-07-18T07:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,64644.8,32.3224,nautilus
1721311200000000000,2024-07-18T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,63957.2,31.9786,nautilus
1721397600000000000,2024-07-19T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,65700.7,32.85035,nautilus
1721653200000000000,2024-07-22T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67073.5,33.53675,nautilus
1721678400000000000,2024-07-22T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,68100.0,34.05,nautilus
1721710800000000000,2024-07-23T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,66399.9,33.19995,nautilus
1721833200000000000,2024-07-24T15:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,66155.7,33.07785,nautilus
1721854800000000000,2024-07-24T21:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,65624.0,32.812,nautilus
1721930400000000000,2024-07-25T18:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,64549.3,32.27465,nautilus
1722265200000000000,2024-07-29T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,68067.2,34.0336,nautilus
1722445200000000000,2024-07-31T17:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,66656.1,33.32805,nautilus
1722456000000000000,2024-07-31T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,64577.4,32.2887,nautilus
1722560400000000000,2024-08-02T01:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,64628.5,32.31425,nautilus
1722574800000000000,2024-08-02T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,64160.9,32.08045,nautilus
1722603600000000000,2024-08-02T13:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,65208.2,32.6041,nautilus
1722610800000000000,2024-08-02T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,63393.5,31.69675,nautilus
1722916800000000000,2024-08-06T04:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,55470.0,27.735,nautilus
1722934800000000000,2024-08-06T09:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,55185.0,27.5925,nautilus
