event_time_ns,event_time,instrument_id,action,quantity,reason
1717322400000000000,2024-06-02T10:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717329600000000000,2024-06-02T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717372800000000000,2024-06-03T00:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717380000000000000,2024-06-03T02:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717704000000000000,2024-06-06T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717740000000000000,2024-06-07T06:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717783200000000000,2024-06-07T18:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717941600000000000,2024-06-09T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718002800000000000,2024-06-10T07:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718035200000000000,2024-06-10T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718071200000000000,2024-06-11T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718193600000000000,2024-06-12T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718607600000000000,2024-06-17T07:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718650800000000000,2024-06-17T19:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718676000000000000,2024-06-18T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718863200000000000,2024-06-20T06:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718899200000000000,2024-06-20T16:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719108000000000000,2024-06-23T02:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719151200000000000,2024-06-23T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719331200000000000,2024-06-25T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719590400000000000,2024-06-28T16:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719662400000000000,2024-06-29T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719712800000000000,2024-06-30T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719734400000000000,2024-06-30T08:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719914400000000000,2024-07-02T10:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1720209600000000000,2024-07-05T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1720238400000000000,2024-07-06T04:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1720260000000000000,2024-07-06T10:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1720357200000000000,2024-07-07T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1720429200000000000,2024-07-08T09:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1720623600000000000,2024-07-10T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1720666800000000000,2024-07-11T03:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1720728000000000000,2024-07-11T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1720792800000000000,2024-07-12T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721116800000000000,2024-07-16T08:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721145600000000000,2024-07-16T16:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721224800000000000,2024-07-17T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721286000000000000,2024-07-18T07:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721311200000000000,2024-07-18T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721397600000000000,2024-07-19T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721653200000000000,2024-07-22T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721678400000000000,2024-07-22T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721710800000000000,2024-07-23T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721833200000000000,2024-07-24T15:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1721854800000000000,2024-07-24T21:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1721930400000000000,2024-07-25T18:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1722265200000000000,2024-07-29T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1722445200000000000,2024-07-31T17:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1722456000000000000,2024-07-31T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1722560400000000000,2024-08-02T01:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1722574800000000000,2024-08-02T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1722603600000000000,2024-08-02T13:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1722610800000000000,2024-08-02T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1722916800000000000,2024-08-06T04:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1722934800000000000,2024-08-06T09:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1722956400000000000,2024-08-06T15:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1723050000000000000,2024-08-07T17:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1723086000000000000,2024-08-08T03:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1723381200000000000,2024-08-11T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1723464000000000000,2024-08-12T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1723644000000000000,2024-08-14T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1723730400000000000,2024-08-15T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1723748400000000000,2024-08-15T19:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1723834800000000000,2024-08-16T19:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1724166000000000000,2024-08-20T15:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1724252400000000000,2024-08-21T15:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1724349600000000000,2024-08-22T18:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1724396400000000000,2024-08-23T07:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1724652000000000000,2024-08-26T06:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1724936400000000000,2024-08-29T13:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1724968800000000000,2024-08-29T22:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
