timestamp,event_type,signal,order,reason,fill_time,fill_price,slippage_bps,latency_bars,quantity,position_before,position_after,pyramid_event,stop_event,commission,funding_payment
1782259200005000192,funding,,FUNDING,perpetual_funding_settlement,,62760.6,,,,0.0,0.0,False,False,,-0.0
1782263820000000000,execution,SELL,SELL,turtle_short_failsafe,1782263880000000000,62755.22385,1.0,1,1.0,0.0,-1.0,False,False,31.377611925,
1782264240000000000,execution,EXIT,FLAT,turtle_short_stop,1782264300000000000,62879.48731999999,1.0,1,1.0,-1.0,0.0,False,True,31.439743659999998,
1782264660000000000,execution,BUY,BUY,turtle_long_breakout,1782264720000000000,63085.407909999994,1.0,1,1.0,0.0,1.0,False,False,31.542703954999997,
1782264720000000000,execution,BUY,BUY,turtle_long_add,1782264780000000000,63035.80295,1.0,1,1.0,1.0,2.0,True,False,31.517901475,
1782265260000000000,execution,EXIT,FLAT,turtle_long_trailing_exit,1782265320000000000,62897.409629999995,1.0,1,2.0,2.0,0.0,False,False,62.89740963,
1782267420000000000,execution,SELL,SELL,turtle_short_failsafe,1782267480000000000,62763.42303,1.0,1,1.0,0.0,-1.0,False,False,31.381711515,
1782267480000000000,execution,SELL,SELL,turtle_short_add,1782267540000000000,62742.12516,1.0,1,1.0,-1.0,-2.0,True,False,31.371062580000004,
1782267540000000000,execution,SELL,SELL,turtle_short_add,1782267600000000000,62733.526020000005,1.0,1,1.0,-2.0,-3.0,True,False,31.366763010000003,
1782268200000000000,execution,EXIT,FLAT,turtle_short_trailing_exit,1782268260000000000,62750.67444,1.0,1,3.0,-3.0,0.0,False,False,94.12601166,
1782268620000000000,execution,SELL,SELL,turtle_short_failsafe,1782268680000000000,62641.13526,1.0,1,1.0,0.0,-1.0,False,False,31.320567630000003,
1782268740000000000,execution,SELL,SELL,turtle_short_add,1782268800000000000,62621.83719,1.0,1,1.0,-1.0,-2.0,True,False,31.310918595,
1782268740000000000,execution,SELL,SELL,turtle_short_add,1782268800000000000,62621.83719,1.0,1,1.0,-2.0,-3.0,True,False,31.310918595,
1782268800000000000,execution,EXIT,FLAT,turtle_short_stop,1782268860000000000,62740.17339,1.0,1,3.0,-3.0,0.0,False,True,94.11026008500001,
1782268860000000000,execution,BUY,BUY,turtle_long_breakout,1782268920000000000,62773.076680000006,1.0,1,1.0,0.0,1.0,False,False,31.386538340000005,
1782269160000000000,execution,EXIT,FLAT,turtle_long_stop,1782269220000000000,62685.7308,1.0,1,1.0,1.0,0.0,False,True,31.3428654,
1782270240000000000,execution,SELL,SELL,turtle_short_breakout,1782270300000000000,62601.23925,1.0,1,1.0,0.0,-1.0,False,False,31.300619625,
1782270300000000000,execution,SELL,SELL,turtle_short_add,1782270360000000000,62549.64441,1.0,1,1.0,-1.0,-2.0,True,False,31.274822205,
1782270420000000000,execution,SELL,SELL,turtle_short_add,1782270480000000000,62557.64361,1.0,1,1.0,-2.0,-3.0,True,False,31.278821805,
1782270540000000000,execution,EXIT,FLAT,turtle_short_stop,1782270600000000000,62591.75855,1.0,1,3.0,-3.0,0.0,False,True,93.887637825,
1782270900000000000,execution,SELL,SELL,turtle_short_breakout,1782270960000000000,62505.44883,1.0,1,1.0,0.0,-1.0,False,False,31.252724415000003,
1782270960000000000,execution,SELL,SELL,turtle_short_add,1782271020000000000,62497.7496,1.0,1,1.0,-1.0,-2.0,True,False,31.248874800000003,
1782270960000000000,execution,SELL,SELL,turtle_short_add,1782271020000000000,62497.7496,1.0,1,1.0,-2.0,-3.0,True,False,31.248874800000003,
1782271560000000000,execution,EXIT,FLAT,turtle_short_trailing_exit,1782271620000000000,62580.057380000006,1.0,1,3.0,-3.0,0.0,False,False,93.87008607000001,
1782272100000000000,execution,BUY,BUY,turtle_long_failsafe,1782272160000000000,62768.67624,1.0,1,1.0,0.0,1.0,False,False,31.384338120000002,
1782272220000000000,execution,BUY,BUY,turtle_long_add,1782272280000000000,62786.37801,1.0,1,1.0,1.0,2.0,True,False,31.393189005,
1782272880000000000,execution,EXIT,FLAT,turtle_long_trailing_exit,1782272940000000000,62769.12246,1.0,1,2.0,2.0,0.0,False,False,62.76912246,
1782274980000000000,execution,SELL,SELL,turtle_short_failsafe,1782275040000000000,62528.7465,1.0,1,1.0,0.0,-1.0,False,False,31.264373250000002,
1782275040000000000,execution,SELL,SELL,turtle_short_add,1782275100000000000,62494.84989,1.0,1,1.0,-1.0,-2.0,True,False,31.247424945,
1782275040000000000,execution,SELL,SELL,turtle_short_add,1782275100000000000,62494.84989,1.0,1,1.0,-2.0,-3.0,True,False,31.247424945,
1782275280000000000,execution,EXIT,FLAT,turtle_short_stop,1782275340000000000,62586.65804,1.0,1,3.0,-3.0,0.0,False,True,93.87998706,
1782275520000000000,execution,BUY,BUY,turtle_long_breakout,1782275580000000000,62717.07108,1.0,1,1.0,0.0,1.0,False,False,31.358535540000002,
1782275580000000000,execution,BUY,BUY,turtle_long_add,1782275640000000000,62670.16639,1.0,1,1.0,1.0,2.0,True,False,31.335083195,
1782276000000000000,execution,EXIT,FLAT,turtle_long_stop,1782276060000000000,62636.43573,1.0,1,2.0,2.0,0.0,False,True,62.636435729999995,
1782276420000000000,execution,BUY,BUY,turtle_long_breakout,1782276480000000000,62762.67564,1.0,1,1.0,0.0,1.0,False,False,31.381337820000002,
1782276480000000000,execution,BUY,BUY,turtle_long_add,1782276540000000000,62743.573730000004,1.0,1,1.0,1.0,2.0,True,False,31.371786865000004,
1782276600000000000,execution,BUY,BUY,turtle_long_add,1782276660000000000,62756.77505,1.0,1,1.0,2.0,3.0,True,False,31.378387524999997,
1782276720000000000,execution,EXIT,FLAT,turtle_long_stop,1782276780000000000,62727.02667000001,1.0,1,3.0,3.0,0.0,False,True,94.09054000500002,
1782277380000000000,execution,BUY,BUY,turtle_long_breakout,1782277440000000000,62795.97897,1.0,1,1.0,0.0,1.0,False,False,31.397989485,
1782277500000000000,execution,EXIT,FLAT,turtle_long_trailing_exit,1782277560000000000,62677.23165,1.0,1,1.0,1.0,0.0,False,False,31.338615825,
1782277740000000000,execution,BUY,BUY,turtle_long_failsafe,1782277800000000000,62803.2797,1.0,1,1.0,0.0,1.0,False,False,31.40163985,
1782277860000000000,execution,BUY,BUY,turtle_long_add,1782277920000000000,62810.58043,1.0,1,1.0,1.0,2.0,True,False,31.405290215,
1782278040000000000,execution,EXIT,FLAT,turtle_long_stop,1782278100000000000,62753.424029999995,1.0,1,2.0,2.0,0.0,False,True,62.75342403,
1782278220000000000,execution,BUY,BUY,turtle_long_breakout,1782278280000000000,62836.08298,1.0,1,1.0,0.0,1.0,False,False,31.41804149,
1782278280000000000,execution,BUY,BUY,turtle_long_add,1782278340000000000,62853.18469,1.0,1,1.0,1.0,2.0,True,False,31.426592345000003,
1782278460000000000,execution,EXIT,FLAT,turtle_long_trailing_exit,1782278520000000000,62774.32194,1.0,1,2.0,2.0,0.0,False,False,62.77432194,
1782278700000000000,execution,BUY,BUY,turtle_long_failsafe,1782278760000000000,62842.88366,1.0,1,1.0,0.0,1.0,False,False,31.42144183,
1782279120000000000,execution,BUY,BUY,turtle_long_add,1782279180000000000,62887.68814,1.0,1,1.0,1.0,2.0,True,False,31.44384407,
1782279120000000000,execution,BUY,BUY,turtle_long_add,1782279180000000000,62887.68814,1.0,1,1.0,2.0,3.0,True,False,31.44384407,
1782280200000000000,execution,EXIT,FLAT,turtle_long_trailing_exit,1782280260000000000,62863.91298,1.0,1,3.0,3.0,0.0,False,False,94.29586947000001,
1782283500000000000,execution,SELL,SELL,turtle_short_failsafe,1782283560000000000,62734.925879999995,1.0,1,1.0,0.0,-1.0,False,False,31.36746294,
1782283560000000000,execution,SELL,SELL,turtle_short_add,1782283620000000000,62758.42353,1.0,1,1.0,-1.0,-2.0,True,False,31.379211765,
1782283740000000000,execution,SELL,SELL,turtle_short_add,1782283800000000000,62715.42783,1.0,1,1.0,-2.0,-3.0,True,False,31.357713915,
