strategy,current_status,category,execution_issue,complexity,risk,priority
adx_ma_channel_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
adx_ma_channel_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
avg_channel_range_leader_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
avg_channel_range_leader_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
bollinger_bandit_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
bollinger_bandit_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
displaced_boll_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
displaced_boll_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
double_your_fun_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
double_your_fun_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
dynamic_breakout_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
dynamic_breakout_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
escalator_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
escalator_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
first_pullback_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
first_pullback_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
four_ma_crossover_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
four_ma_crossover_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ghost_trader_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ghost_trader_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
going_in_style_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
going_in_style_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
in_the_zone_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
in_the_zone_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
jailbreak_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
jailbreak_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
keltner_channel_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
keltner_channel_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
king_keltner_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
