strategy_name,strategy_type,execution_status,adapter_type,signal_contract,position_contract,fill_contract,fee_supported,funding_supported,latency_supported,five_year_validated,migration_version,migration_date,state_complexity,migration_pattern,execution_dependency,estimated_effort
adx_ma_channel_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
adx_ma_channel_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
avg_channel_range_leader_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
avg_channel_range_leader_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
bollinger_bandit_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
bollinger_bandit_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
displaced_boll_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
displaced_boll_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
double_your_fun_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
double_your_fun_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
dual_ma,long_short,compatible,PlannedSignal/TradeAction,PlannedSignal with TradeAction list,execution_owned,FillRecord,yes,yes,yes,yes,existing-v1,2026-07-18,low,native_execution_contract,position|fills,complete
dynamic_breakout_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
dynamic_breakout_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
escalator_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
escalator_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
first_pullback_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
first_pullback_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
four_ma_crossover_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
four_ma_crossover_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
ghost_trader_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,virtual_trade_decision_model+position_gate+fill_anchored_price,position|fills|entry_fill_price,complete
ghost_trader_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,virtual_trade_decision_model+position_gate+fill_anchored_price,position|fills|entry_fill_price,complete
going_in_style_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
going_in_style_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch1,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
in_the_zone_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
in_the_zone_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
jailbreak_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
jailbreak_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
keltner_channel_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
keltner_channel_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
king_keltner_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
king_keltner_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
ma_crossover,long_flat,compatible,SignalToOrderPolicy,string BUY/SELL/HOLD,execution_owned,FillRecord,yes,yes,yes,yes,existing-v1,2026-07-18,low,native_execution_contract,position|fills,complete
ma_crossover_channel_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
ma_crossover_channel_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
ma_sup_res_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
ma_sup_res_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch2,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
no_hurry_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
no_hurry_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
obv_revisited_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
obv_revisited_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch5,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
open_close_histogram_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
open_close_histogram_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
redrover_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
redrover_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
reference_deviation_long,long_only,migrated,LegacyExecutionState long-flat,string BUY/SELL/HOLD,execution_owned,FillRecord,yes,yes,yes,yes,phase2.2-v1,2026-07-18,low,fill_synchronized_pending_target,position|fills|entry_fill_price,complete
