instrument_id,series,trading_date_partitions,total_quote_ticks,files,bytes_on_disk,first_ts,last_ts,date_coverage_days,trading_dates
IF2301.CFFEX,IF,1,24489,1,469055,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IC2301.CFFEX,IC,1,23641,1,457692,2023-01-03T01:29:00.200000+00:00,2023-01-03T07:00:00.200000+00:00,1,2023-01-03
IH2301.CFFEX,IH,1,22096,1,418961,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IM2301.CFFEX,IM,1,21780,1,421581,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IF2303.CFFEX,IF,1,19321,1,368033,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IC2303.CFFEX,IC,1,18650,1,354910,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.700000+00:00,1,2023-01-03
IM2303.CFFEX,IM,1,17485,1,337514,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IH2303.CFFEX,IH,1,16125,1,305263,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.200000+00:00,1,2023-01-03
IC2306.CFFEX,IC,1,14444,1,276571,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.700000+00:00,1,2023-01-03
IM2306.CFFEX,IM,1,13735,1,263615,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:56.200000+00:00,1,2023-01-03
IF2306.CFFEX,IF,1,13701,1,258583,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.700000+00:00,1,2023-01-03
IF2302.CFFEX,IF,1,13335,1,250035,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:59.700000+00:00,1,2023-01-03
IH2306.CFFEX,IH,1,12580,1,235898,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.200000+00:00,1,2023-01-03
IC2302.CFFEX,IC,1,12533,1,242407,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.700000+00:00,1,2023-01-03
IH2302.CFFEX,IH,1,12363,1,227870,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:56.200000+00:00,1,2023-01-03
IM2302.CFFEX,IM,1,12153,1,237519,2023-01-03T01:29:00.200000+00:00,2023-01-03T06:59:58.700000+00:00,1,2023-01-03
