strategy,timestamp,signal_before,signal_after,match
in_the_zone_long,1782259200000000000,HOLD,HOLD,True
in_the_zone_long,1782259260000000000,HOLD,HOLD,True
in_the_zone_long,1782259320000000000,HOLD,HOLD,True
in_the_zone_long,1782259380000000000,HOLD,HOLD,True
in_the_zone_long,1782259440000000000,HOLD,HOLD,True
in_the_zone_long,1782259500000000000,HOLD,HOLD,True
in_the_zone_long,1782259560000000000,HOLD,HOLD,True
in_the_zone_long,1782259620000000000,HOLD,HOLD,True
in_the_zone_long,1782259680000000000,HOLD,HOLD,True
in_the_zone_long,1782259740000000000,HOLD,HOLD,True
in_the_zone_long,1782259800000000000,HOLD,HOLD,True
in_the_zone_long,1782259860000000000,HOLD,HOLD,True
in_the_zone_long,1782259920000000000,HOLD,HOLD,True
in_the_zone_long,1782259980000000000,HOLD,HOLD,True
in_the_zone_long,1782260040000000000,BUY,BUY,True
in_the_zone_long,1782260100000000000,HOLD,HOLD,True
in_the_zone_long,1782260160000000000,HOLD,HOLD,True
in_the_zone_long,1782260220000000000,HOLD,HOLD,True
in_the_zone_long,1782260280000000000,HOLD,HOLD,True
in_the_zone_long,1782260340000000000,HOLD,HOLD,True
in_the_zone_long,1782260400000000000,HOLD,HOLD,True
in_the_zone_long,1782260460000000000,HOLD,HOLD,True
in_the_zone_long,1782260520000000000,HOLD,HOLD,True
in_the_zone_long,1782260580000000000,HOLD,HOLD,True
in_the_zone_long,1782260640000000000,HOLD,HOLD,True
in_the_zone_long,1782260700000000000,HOLD,HOLD,True
in_the_zone_long,1782260760000000000,HOLD,HOLD,True
in_the_zone_long,1782260820000000000,HOLD,HOLD,True
in_the_zone_long,1782260880000000000,HOLD,HOLD,True
in_the_zone_long,1782260940000000000,HOLD,HOLD,True
in_the_zone_long,1782261000000000000,HOLD,HOLD,True
in_the_zone_long,1782261060000000000,HOLD,HOLD,True
in_the_zone_long,1782261120000000000,HOLD,HOLD,True
in_the_zone_long,1782261180000000000,HOLD,HOLD,True
in_the_zone_long,1782261240000000000,HOLD,HOLD,True
in_the_zone_long,1782261300000000000,HOLD,HOLD,True
in_the_zone_long,1782261360000000000,HOLD,HOLD,True
in_the_zone_long,1782261420000000000,HOLD,HOLD,True
in_the_zone_long,1782261480000000000,HOLD,HOLD,True
in_the_zone_long,1782261540000000000,HOLD,HOLD,True
in_the_zone_long,1782261600000000000,HOLD,HOLD,True
in_the_zone_long,1782261660000000000,HOLD,HOLD,True
in_the_zone_long,1782261720000000000,HOLD,HOLD,True
in_the_zone_long,1782261780000000000,HOLD,HOLD,True
in_the_zone_long,1782261840000000000,HOLD,HOLD,True
in_the_zone_long,1782261900000000000,HOLD,HOLD,True
in_the_zone_long,1782261960000000000,HOLD,HOLD,True
in_the_zone_long,1782262020000000000,HOLD,HOLD,True
in_the_zone_long,1782262080000000000,HOLD,HOLD,True
in_the_zone_long,1782262140000000000,HOLD,HOLD,True
in_the_zone_long,1782262200000000000,HOLD,HOLD,True
in_the_zone_long,1782262260000000000,HOLD,HOLD,True
in_the_zone_long,1782262320000000000,HOLD,HOLD,True
in_the_zone_long,1782262380000000000,HOLD,HOLD,True
in_the_zone_long,1782262440000000000,HOLD,HOLD,True
in_the_zone_long,1782262500000000000,HOLD,HOLD,True
in_the_zone_long,1782262560000000000,HOLD,HOLD,True
in_the_zone_long,1782262620000000000,HOLD,HOLD,True
in_the_zone_long,1782262680000000000,HOLD,HOLD,True
in_the_zone_long,1782262740000000000,HOLD,HOLD,True
in_the_zone_long,1782262800000000000,HOLD,HOLD,True
in_the_zone_long,1782262860000000000,HOLD,HOLD,True
in_the_zone_long,1782262920000000000,HOLD,HOLD,True
in_the_zone_long,1782262980000000000,HOLD,HOLD,True
in_the_zone_long,1782263040000000000,HOLD,HOLD,True
in_the_zone_long,1782263100000000000,SELL,SELL,True
in_the_zone_long,1782263160000000000,HOLD,HOLD,True
in_the_zone_long,1782263220000000000,HOLD,HOLD,True
in_the_zone_long,1782263280000000000,HOLD,HOLD,True
in_the_zone_long,1782263340000000000,HOLD,HOLD,True
in_the_zone_long,1782263400000000000,HOLD,HOLD,True
in_the_zone_long,1782263460000000000,HOLD,HOLD,True
in_the_zone_long,1782263520000000000,HOLD,HOLD,True
in_the_zone_long,1782263580000000000,HOLD,HOLD,True
in_the_zone_long,1782263640000000000,HOLD,HOLD,True
in_the_zone_long,1782263700000000000,HOLD,HOLD,True
in_the_zone_long,1782263760000000000,HOLD,HOLD,True
in_the_zone_long,1782263820000000000,HOLD,HOLD,True
in_the_zone_long,1782263880000000000,HOLD,HOLD,True
in_the_zone_long,1782263940000000000,HOLD,HOLD,True
in_the_zone_long,1782264000000000000,HOLD,HOLD,True
in_the_zone_long,1782264060000000000,HOLD,HOLD,True
in_the_zone_long,1782264120000000000,HOLD,HOLD,True
in_the_zone_long,1782264180000000000,HOLD,HOLD,True
in_the_zone_long,1782264240000000000,HOLD,HOLD,True
in_the_zone_long,1782264300000000000,HOLD,HOLD,True
in_the_zone_long,1782264360000000000,HOLD,HOLD,True
in_the_zone_long,1782264420000000000,HOLD,HOLD,True
in_the_zone_long,1782264480000000000,HOLD,HOLD,True
in_the_zone_long,1782264540000000000,HOLD,HOLD,True
in_the_zone_long,1782264600000000000,HOLD,HOLD,True
in_the_zone_long,1782264660000000000,HOLD,HOLD,True
in_the_zone_long,1782264720000000000,HOLD,HOLD,True
in_the_zone_long,1782264780000000000,HOLD,HOLD,True
in_the_zone_long,1782264840000000000,HOLD,HOLD,True
in_the_zone_long,1782264900000000000,HOLD,HOLD,True
in_the_zone_long,1782264960000000000,HOLD,HOLD,True
in_the_zone_long,1782265020000000000,HOLD,HOLD,True
in_the_zone_long,1782265080000000000,HOLD,HOLD,True
in_the_zone_long,1782265140000000000,HOLD,HOLD,True
in_the_zone_long,1782265200000000000,HOLD,HOLD,True
in_the_zone_long,1782265260000000000,HOLD,HOLD,True
in_the_zone_long,1782265320000000000,HOLD,HOLD,True
in_the_zone_long,1782265380000000000,HOLD,HOLD,True
in_the_zone_long,1782265440000000000,HOLD,HOLD,True
in_the_zone_long,1782265500000000000,HOLD,HOLD,True
in_the_zone_long,1782265560000000000,HOLD,HOLD,True
in_the_zone_long,1782265620000000000,HOLD,HOLD,True
in_the_zone_long,1782265680000000000,HOLD,HOLD,True
in_the_zone_long,1782265740000000000,HOLD,HOLD,True
in_the_zone_long,1782265800000000000,BUY,BUY,True
in_the_zone_long,1782265860000000000,HOLD,HOLD,True
in_the_zone_long,1782265920000000000,HOLD,HOLD,True
in_the_zone_long,1782265980000000000,HOLD,HOLD,True
in_the_zone_long,1782266040000000000,HOLD,HOLD,True
in_the_zone_long,1782266100000000000,HOLD,HOLD,True
in_the_zone_long,1782266160000000000,HOLD,HOLD,True
in_the_zone_long,1782266220000000000,HOLD,HOLD,True
in_the_zone_long,1782266280000000000,HOLD,HOLD,True
in_the_zone_long,1782266340000000000,SELL,SELL,True
in_the_zone_long,1782266400000000000,HOLD,HOLD,True
in_the_zone_long,1782266460000000000,HOLD,HOLD,True
in_the_zone_long,1782266520000000000,HOLD,HOLD,True
in_the_zone_long,1782266580000000000,HOLD,HOLD,True
in_the_zone_long,1782266640000000000,HOLD,HOLD,True
in_the_zone_long,1782266700000000000,HOLD,HOLD,True
in_the_zone_long,1782266760000000000,HOLD,HOLD,True
in_the_zone_long,1782266820000000000,HOLD,HOLD,True
in_the_zone_long,1782266880000000000,HOLD,HOLD,True
in_the_zone_long,1782266940000000000,HOLD,HOLD,True
in_the_zone_long,1782267000000000000,HOLD,HOLD,True
in_the_zone_long,1782267060000000000,HOLD,HOLD,True
in_the_zone_long,1782267120000000000,HOLD,HOLD,True
in_the_zone_long,1782267180000000000,HOLD,HOLD,True
in_the_zone_long,1782267240000000000,HOLD,HOLD,True
in_the_zone_long,1782267300000000000,HOLD,HOLD,True
in_the_zone_long,1782267360000000000,HOLD,HOLD,True
in_the_zone_long,1782267420000000000,HOLD,HOLD,True
in_the_zone_long,1782267480000000000,HOLD,HOLD,True
in_the_zone_long,1782267540000000000,HOLD,HOLD,True
in_the_zone_long,1782267600000000000,HOLD,HOLD,True
in_the_zone_long,1782267660000000000,HOLD,HOLD,True
in_the_zone_long,1782267720000000000,HOLD,HOLD,True
in_the_zone_long,1782267780000000000,HOLD,HOLD,True
in_the_zone_long,1782267840000000000,HOLD,HOLD,True
in_the_zone_long,1782267900000000000,HOLD,HOLD,True
in_the_zone_long,1782267960000000000,HOLD,HOLD,True
in_the_zone_long,1782268020000000000,HOLD,HOLD,True
in_the_zone_long,1782268080000000000,HOLD,HOLD,True
in_the_zone_long,1782268140000000000,HOLD,HOLD,True
in_the_zone_long,1782268200000000000,HOLD,HOLD,True
in_the_zone_long,1782268260000000000,HOLD,HOLD,True
in_the_zone_long,1782268320000000000,HOLD,HOLD,True
in_the_zone_long,1782268380000000000,HOLD,HOLD,True
in_the_zone_long,1782268440000000000,HOLD,HOLD,True
in_the_zone_long,1782268500000000000,HOLD,HOLD,True
in_the_zone_long,1782268560000000000,HOLD,HOLD,True
in_the_zone_long,1782268620000000000,HOLD,HOLD,True
in_the_zone_long,1782268680000000000,HOLD,HOLD,True
in_the_zone_long,1782268740000000000,HOLD,HOLD,True
in_the_zone_long,1782268800000000000,HOLD,HOLD,True
in_the_zone_long,1782268860000000000,HOLD,HOLD,True
in_the_zone_long,1782268920000000000,HOLD,HOLD,True
in_the_zone_long,1782268980000000000,HOLD,HOLD,True
in_the_zone_long,1782269040000000000,HOLD,HOLD,True
in_the_zone_long,1782269100000000000,HOLD,HOLD,True
in_the_zone_long,1782269160000000000,HOLD,HOLD,True
in_the_zone_long,1782269220000000000,HOLD,HOLD,True
in_the_zone_long,1782269280000000000,HOLD,HOLD,True
in_the_zone_long,1782269340000000000,HOLD,HOLD,True
in_the_zone_long,1782269400000000000,HOLD,HOLD,True
in_the_zone_long,1782269460000000000,HOLD,HOLD,True
in_the_zone_long,1782269520000000000,HOLD,HOLD,True
in_the_zone_long,1782269580000000000,HOLD,HOLD,True
in_the_zone_long,1782269640000000000,HOLD,HOLD,True
in_the_zone_long,1782269700000000000,HOLD,HOLD,True
in_the_zone_long,1782269760000000000,HOLD,HOLD,True
in_the_zone_long,1782269820000000000,HOLD,HOLD,True
in_the_zone_long,1782269880000000000,HOLD,HOLD,True
in_the_zone_long,1782269940000000000,HOLD,HOLD,True
in_the_zone_long,1782270000000000000,HOLD,HOLD,True
in_the_zone_long,1782270060000000000,HOLD,HOLD,True
in_the_zone_long,1782270120000000000,HOLD,HOLD,True
in_the_zone_long,1782270180000000000,HOLD,HOLD,True
in_the_zone_long,1782270240000000000,HOLD,HOLD,True
in_the_zone_long,1782270300000000000,HOLD,HOLD,True
in_the_zone_long,1782270360000000000,HOLD,HOLD,True
in_the_zone_long,1782270420000000000,HOLD,HOLD,True
