strategy,current_status,migration_pattern,state_complexity,execution_dependency,requires_new_pattern,priority,notes
adx_ma_channel_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
adx_ma_channel_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
avg_channel_range_leader_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
avg_channel_range_leader_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
bollinger_bandit_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
bollinger_bandit_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
displaced_boll_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
displaced_boll_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
double_your_fun_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
double_your_fun_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
dynamic_breakout_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
dynamic_breakout_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
escalator_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
escalator_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
first_pullback_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
first_pullback_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
